DIST_ID,CO_DIST_NUM,ESD,VOICES June2015,VOICESJune2016,ENROLLED2014-15,PRESENT2014-15,ENROLLED2015-16,PRESENT2015-16,ENROLLED2016-2017,PRESENT2016-17,WELPA2014,WELPA2015,WELPA2016,MATH2014,MATH2015,MATH2016,READING2014,READING2015,READING2016,SCIENCE2014,SCIENCE2015,SCIENCE2016
WAWAPA,39207,105,NULL,2015-2016,180,179,164,157,180,177,NULL,NULL,NULL,1,1,1,2,NULL,2,1,NULL,NULL
WAWAHL,13073,105,2014-2015,NULL,99,98,198,169,180,170,3,2,NULL,NULL,1,1,NULL,NULL,1,2,NULL,NULL
WATONK,24404,171,2014-2015,NULL,180,174,180,177,180,164,NULL,NULL,NULL,2,2,2,2,NULL,2,NULL,NULL,2
WAWARD,13146,171,NULL,2015-2016,180,173,176,150,180,166,2,2,NULL,1,1,1,2,NULL,1,1,NULL,NULL
WAWAPA,39207,105,NULL,2015-2016,180,178,180,177,180,177,NULL,NULL,NULL,2,1,1,4,NULL,2,3,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,180,176,180,147,180,117,3,3,NULL,1,1,1,1,NULL,1,1,NULL,NULL
WAYAKI,39007,105,2014-2015,2015-2016,64,64,180,180,180,177,NULL,2,NULL,2,1,1,2,NULL,1,1,NULL,NULL
WAMTVE,29320,189,2014-2015,NULL,179,179,180,180,180,180,3,2,NULL,NULL,1,1,NULL,NULL,1,1,NULL,NULL
WAGRAN,39200,105,NULL,2015-2016,NULL,NULL,178,177,180,179,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,NULL,2,NULL
WATONK,24404,171,2014-2015,NULL,180,173,180,179,NULL,NULL,2,2,NULL,1,1,NULL,1,NULL,NULL,1,NULL,NULL
WATONK,24404,171,2014-2015,2015-2016,180,170,180,175,180,164,3,4,NULL,1,1,1,1,NULL,2,1,NULL,NULL
WAWAHL,13073,105,NULL,2015-2016,180,169,199,171,180,176,3,3,NULL,NULL,1,1,NULL,NULL,2,NULL,2,NULL
WAKENN,3017,123,NULL,2015-2016,NULL,NULL,85,84,180,177,NULL,3,NULL,NULL,3,3,NULL,NULL,3,NULL,NULL,NULL
WABURL,29100,189,2014-2015,NULL,181,177,185,183,NULL,NULL,3,3,NULL,1,1,NULL,1,NULL,NULL,1,NULL,NULL
WAWAHL,13073,105,NULL,2015-2016,180,175,180,177,180,178,3,3,NULL,NULL,1,1,NULL,NULL,2,NULL,2,NULL
WATONK,24404,171,NULL,2015-2016,NULL,NULL,NULL,NULL,180,170,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,3,NULL,NULL,NULL
WABREW,24111,171,2014-2015,NULL,178,173,180,174,180,175,3,3,2,NULL,2,2,NULL,NULL,2,1,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,180,175,174,154,180,159,NULL,NULL,NULL,1,1,1,2,NULL,2,2,NULL,NULL
WATONK,24404,171,NULL,2015-2016,180,178,180,177,NULL,NULL,3,3,NULL,5,1,NULL,1,NULL,NULL,1,NULL,NULL
WANORT,11051,123,NULL,2015-2016,176,168,104,100,180,176,2,2,NULL,1,1,1,2,NULL,1,NULL,1,NULL
WABREW,24111,171,2014-2015,NULL,155,132,180,174,172,154,3,3,2,NULL,1,2,NULL,NULL,1,NULL,NULL,1
WAMTVE,29320,189,2014-2015,NULL,179,179,180,180,180,180,3,4,NULL,2,1,1,2,NULL,1,NULL,NULL,2
WAWAHL,13073,105,NULL,2015-2016,NULL,NULL,180,167,180,167,NULL,2,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,180,177,180,178,129,126,2,4,2,NULL,2,2,NULL,NULL,1,1,NULL,NULL
WAWENA,4246,171,2014-2015,NULL,180,165,180,177,180,166,3,4,2,NULL,2,2,NULL,NULL,2,NULL,NULL,2
WABRID,9075,171,NULL,2015-2016,180,173,180,171,180,164,NULL,NULL,NULL,NULL,2,2,NULL,NULL,2,NULL,2,NULL
WAPROS,3116,123,NULL,2015-2016,157,146,180,172,180,169,NULL,NULL,NULL,NULL,4,2,NULL,NULL,3,NULL,4,NULL
WAMTVE,29320,189,2014-2015,NULL,179,179,180,180,143,140,3,3,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,1
WAYAKI,39007,105,NULL,2015-2016,160,155,180,173,180,180,NULL,3,NULL,2,1,2,2,NULL,1,NULL,1,NULL
WAPROS,3116,123,NULL,2015-2016,180,169,180,165,180,172,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,2,NULL
WAWAHL,13073,105,2014-2015,NULL,180,174,180,167,180,170,3,3,NULL,NULL,1,1,NULL,NULL,2,1,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,180,177,180,166,NULL,NULL,NULL,NULL,NULL,1,1,NULL,2,NULL,NULL,NULL,NULL,NULL
WAGRAN,39200,105,NULL,2015-2016,173,164,176,164,180,161,4,NULL,NULL,4,2,1,3,NULL,1,NULL,3,NULL
WAGRAN,39200,105,2014-2015,NULL,149,147,178,173,180,145,NULL,3,NULL,3,2,2,2,NULL,1,NULL,NULL,1
WABREW,24111,171,2014-2015,NULL,155,130,180,171,172,154,3,3,2,NULL,2,1,NULL,NULL,1,NULL,NULL,1
WAEAST,9206,171,NULL,2015-2016,180,170,172,162,176,166,NULL,NULL,NULL,NULL,2,3,NULL,NULL,2,NULL,3,NULL
WABRID,9075,171,NULL,2015-2016,180,175,176,173,180,178,1,2,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL
WABRID,9075,171,NULL,2015-2016,NULL,NULL,43,42,180,173,NULL,NULL,NULL,NULL,2,1,NULL,NULL,2,NULL,NULL,NULL
WAWENA,4246,171,NULL,2015-2016,180,180,180,162,180,174,NULL,NULL,NULL,3,2,2,4,NULL,3,NULL,3,NULL
WAYAKI,39007,105,2014-2015,NULL,180,172,180,168,180,164,3,3,NULL,2,1,1,2,NULL,1,3,NULL,NULL
WAWARD,13146,171,NULL,2015-2016,NULL,NULL,NULL,NULL,88,85,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,3,NULL,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,180,173,180,165,180,170,3,3,NULL,1,1,1,2,NULL,1,1,NULL,NULL
WABRID,9075,171,NULL,2015-2016,180,171,153,148,180,173,4,NULL,NULL,NULL,2,3,NULL,NULL,2,NULL,2,NULL
WAYAKI,39007,105,2014-2015,NULL,95,85,180,163,180,169,3,3,NULL,2,2,1,2,NULL,2,2,NULL,NULL
WAPROS,3116,123,NULL,2015-2016,180,177,180,175,180,177,2,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL
WAWAHL,13073,105,2014-2015,NULL,180,178,160,158,160,158,3,4,NULL,NULL,1,1,NULL,NULL,3,NULL,NULL,3
WAEAST,9206,171,NULL,2015-2016,180,179,172,171,176,176,3,3,2,NULL,2,3,NULL,NULL,3,NULL,3,NULL
WASUNN,39201,105,2014-2015,NULL,204,194,173,168,173,169,3,4,NULL,3,2,2,2,NULL,2,NULL,NULL,1
WAYAKI,39007,105,2014-2015,NULL,167,166,180,177,180,175,3,3,NULL,1,1,1,5,NULL,1,1,NULL,NULL
WAPROS,3116,123,NULL,2015-2016,180,174,180,177,180,173,3,3,2,NULL,2,2,NULL,NULL,2,1,NULL,NULL
WAGRAN,39200,105,NULL,2015-2016,176,170,42,41,180,173,2,2,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL
WATONK,24404,171,2014-2015,NULL,180,171,69,63,180,180,NULL,NULL,NULL,1,2,2,3,NULL,3,NULL,NULL,4
WAGRAN,39200,105,NULL,2015-2016,179,169,177,170,180,169,NULL,NULL,NULL,NULL,2,1,NULL,NULL,1,NULL,2,NULL
WAEAST,9206,171,NULL,2015-2016,NULL,NULL,54,47,177,159,NULL,NULL,1,NULL,2,1,NULL,NULL,1,NULL,NULL,NULL
WATONK,24404,171,NULL,2015-2016,NULL,NULL,180,166,180,161,NULL,NULL,NULL,NULL,2,2,NULL,NULL,3,NULL,NULL,NULL
WAOTHE,1147,123,NULL,2015-2016,125,118,170,155,177,157,NULL,NULL,NULL,1,1,2,3,NULL,2,1,NULL,NULL
WAEAST,9206,171,NULL,2015-2016,44,41,172,165,176,162,NULL,3,2,NULL,1,1,NULL,NULL,2,NULL,3,NULL
WANORT,11051,123,2014-2015,NULL,93,90,178,176,180,178,3,4,NULL,3,2,2,2,NULL,3,3,NULL,NULL
WAGRAN,39200,105,NULL,2015-2016,NULL,NULL,171,163,180,173,NULL,3,NULL,NULL,1,1,NULL,NULL,2,NULL,1,NULL
WAGRAN,39200,105,2014-2015,NULL,157,155,178,169,180,174,2,3,NULL,1,1,1,1,NULL,1,NULL,NULL,1
WAMTVE,29320,189,NULL,2015-2016,172,172,180,180,180,180,NULL,NULL,NULL,NULL,4,3,NULL,NULL,3,NULL,3,NULL
WAYAKI,39007,105,2014-2015,NULL,180,177,180,175,180,177,3,3,NULL,1,1,1,1,NULL,1,NULL,NULL,3
WAPROS,3116,123,NULL,2015-2016,180,167,180,161,180,134,NULL,NULL,NULL,NULL,1,2,NULL,NULL,2,2,NULL,NULL
WATONK,24404,171,NULL,2015-2016,180,178,180,179,180,175,NULL,NULL,NULL,2,2,2,2,NULL,3,NULL,1,NULL
WATONK,24404,171,2014-2015,NULL,180,178,180,178,180,177,NULL,NULL,NULL,2,1,2,3,NULL,3,NULL,NULL,3
WAYAKI,39007,105,2014-2015,NULL,52,48,180,173,180,169,NULL,3,NULL,1,1,2,NULL,NULL,3,NULL,NULL,3
WAMTVE,29320,189,NULL,2015-2016,NULL,NULL,NULL,NULL,180,180,NULL,NULL,2,NULL,NULL,1,NULL,NULL,2,NULL,NULL,NULL
WAKENN,3017,123,NULL,2015-2016,180,179,180,177,180,177,2,3,2,1,1,1,2,NULL,1,1,NULL,NULL
WATONK,24404,171,NULL,2015-2016,180,175,180,176,180,175,3,4,NULL,1,2,2,2,NULL,2,NULL,2,NULL
WAOTHE,1147,123,NULL,2015-2016,179,171,165,162,177,171,3,3,NULL,NULL,2,3,NULL,NULL,2,2,NULL,NULL
WAYAKI,39007,105,2014-2015,NULL,94,93,179,176,180,172,NULL,1,NULL,1,1,2,NULL,NULL,1,NULL,NULL,1
WAMTVE,29320,189,NULL,2015-2016,NULL,NULL,180,180,180,180,NULL,3,NULL,NULL,1,2,NULL,NULL,1,NULL,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,NULL,NULL,34,32,180,166,NULL,NULL,NULL,NULL,2,1,NULL,NULL,2,NULL,NULL,NULL
WABURL,29100,189,2014-2015,NULL,183,183,185,185,NULL,NULL,4,NULL,NULL,1,2,NULL,2,NULL,NULL,2,NULL,NULL
WATONK,24404,171,2014-2015,NULL,180,174,155,155,NULL,NULL,3,3,NULL,1,1,NULL,2,NULL,NULL,1,NULL,NULL
WAYAKI,39007,105,NULL,2015-2016,NULL,NULL,180,173,180,179,NULL,4,NULL,NULL,2,2,NULL,NULL,2,NULL,2,NULL
WAWAHL,13073,105,NULL,2015-2016,165,165,170,168,170,166,3,4,2,NULL,2,2,NULL,NULL,2,NULL,2,NULL
WAWENA,4246,171,2014-2015,NULL,180,176,180,177,180,174,3,3,NULL,2,1,2,2,NULL,2,2,NULL,NULL
WASUNN,39201,105,2014-2015,NULL,173,163,173,165,173,165,3,3,NULL,1,1,1,5,NULL,1,NULL,NULL,1
WAWENA,4246,171,2014-2015,NULL,177,166,180,172,180,164,3,3,NULL,NULL,2,2,NULL,NULL,3,NULL,NULL,3
WABURL,29100,189,2014-2015,NULL,181,175,185,179,181,180,NULL,NULL,NULL,2,3,2,3,NULL,2,NULL,NULL,2
WABURL,29100,189,2014-2015,NULL,132,131,130,128,181,172,3,3,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL,2
WABURL,29100,189,2014-2015,NULL,170,166,185,184,181,179,3,4,NULL,NULL,1,1,NULL,NULL,2,1,NULL,NULL
WAKENN,3017,123,NULL,2015-2016,NULL,NULL,NULL,NULL,106,104,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,1,NULL,NULL,NULL
WAQUIN,13144,171,NULL,2015-2016,180,176,180,172,128,126,1,3,2,NULL,1,1,NULL,NULL,1,NULL,1,NULL
